Artikelnummer;URL;Bezeichnung;Model;Size;Bez1
170289A11020500;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-4-valves-1.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289B07000;https://www.miraphone.de/bbb-tuba-41.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289B07000500;https://www.miraphone.de/bbb-tuba-289-170289b07000500.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289B07020;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-5-valves-1-5.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289B11000;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-5-valves-1-4.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289B11000500;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-5-valves-1-3.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289B11020;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-5-valves-1-2.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170289B11020500;https://www.miraphone.de/bbb-tuba-289-5-4-size-bell-47-cm-5-valves-1.html;B-Tuba;Modell 289;5/4;Modell 2895/4
170494A07000;https://www.miraphone.de/bbb-tuba-494-yellow-brass.html;B Tuba;Modell 494 Hagen;3/4;Modell 494 Hagen3/4
170494A07000930;https://www.miraphone.de/b-tuba-494-170494a07000930.html;B Tuba;Modell 494 Hagen;3/4;Modell 494 Hagen3/4
170494A07020;https://www.miraphone.de/bbb-tuba-497.html;B-Tuba;Modell 494 Hagen;3/4;Modell 494 Hagen3/4
170494A11000;https://www.miraphone.de/bbb-tuba-495.html;B-Tuba;Modell 494 Hagen;3/4;Modell 494 Hagen3/4
170494B07000;https://www.miraphone.de/bbb-tuba-494-5-valves.html;B Tuba;model 494 Hagen;3/4;model 494 Hagen3/4
170495A07000;https://www.miraphone.de/b-tuba-5.html;B-Tuba;Modell 495 Hagen;4/4 weit;Modell 495 Hagen4/4 weit
170495A07000700;https://www.miraphone.de/b-tuba-3.html;B-Tuba;Modell 495 Hagen;4/4 weit;Modell 495 Hagen4/4 weit
170495A07000720;https://www.miraphone.de/bbb-tuba-hagen-495-4-4-size-bell-45-cm-4-valves-1.html;B-Tuba;Modell 495 Hagen;4/4 weit;Modell 495 Hagen4/4 weit
170495A07000930;https://www.miraphone.de/bbb-tuba-hagen-495-170495a07000930.html;B-Tuba;Modell 495 Hagen;4/4 weit;Modell 495 Hagen4/4 weit
170495A11000;https://www.miraphone.de/b-tuba-2.html;B-Tuba;Modell 495 Hagen;4/4 weit;Modell 495 Hagen4/4 weit
170496A07000;https://www.miraphone.de/b-tuba-11.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496A07000700;https://www.miraphone.de/b-tuba-10.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496A07000720;https://www.miraphone.de/b-tuba-8.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496A07000930;https://www.miraphone.de/b-tuba-hagen-496-170496a07000930.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496A07020;https://www.miraphone.de/b-tuba-6.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496A11000;https://www.miraphone.de/b-tuba-7.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496B07000;https://www.miraphone.de/b-tuba-12.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496B07000710;https://www.miraphone.de/bbb-tuba-88.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496B07020;https://www.miraphone.de/bb-tuba-hagen-496-5-4-size-bell-45-cm-5-valves-1.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
170496B11000;https://www.miraphone.de/b-tuba-9.html;B-Tuba;Modell 496 Hagen;5/4;Modell 496 Hagen5/4
